subject_id,s_accession,query_id,q_accession,e_value,bitscore,bias,best_dmn_e_value,best_dmn_bitscore,best_dmn_bias,dne_exp,dne_reg,dne_clu,dne_ov,dne_env,dne_dom,dne_rep,dne_inc,s_description,cluster,tool,db
GL0100433_MH0065_[Complete]_[mRNA]_locus=scaffold82475_1:9794:10345:-,-,cluster1073,-,1.1000000000000001e-08,42.5,10.9,1.1000000000000001e-08,42.5,10.9,2.8,1,1,0,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0046737_MH0031_[Complete]_[mRNA]_locus=scaffold52446_1:1176:1754:+,-,cluster1073,-,3.3e-08,41.0,11.9,3.3e-08,41.0,11.9,4.1,1,1,2,4,4,2,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0123173_MH0009_[Complete]_[mRNA]_locus=scaffold90053_2:1:540:-,-,cluster1073,-,1.2e-07,39.2,18.6,1.2e-07,39.2,18.6,3.4,2,1,1,3,3,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0005597_V1_[Complete]_[mRNA]_locus=scaffold65679_3:187:723:-,-,cluster1073,-,3.1e-07,37.9,17.7,3.1e-07,37.9,17.7,3.2,2,1,1,3,3,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0111802_MH0011_[Complete]_[mRNA]_locus=scaffold111032_1:15582:16127:-,-,cluster1073,-,3.1e-06,34.7,13.8,3.1e-06,34.7,13.8,3.0,1,1,1,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0097599_MH0076_[Complete]_[mRNA]_locus=scaffold13557_1:748:1311:+,-,cluster1073,-,2.5e-05,31.8,15.0,2.5e-05,31.8,15.0,3.7,2,2,0,2,2,1,1,[translate_table: standard],1073,hmmsearch,metahit_pep
GL0006538_MH0023_[Complete]_[mRNA]_locus=C1324834_1:2598:3029:+,-,cluster113b,-,2.3999999999999996e-35,127.3,14.5,2.8999999999999997e-17,69.4,1.1,2.9,3,0,0,3,3,2,2,[translate_table: standard],113b,hmmsearch,metahit_pep
GL0025803_MH0077_[Complete]_[mRNA]_locus=scaffold32666_1:467:898:+,-,cluster113b,-,7.2e-24,90.5,15.0,4.5e-12,52.8,0.9,3.3,3,0,0,3,3,3,2,[translate_table: standard],113b,hmmsearch,metahit_pep
GL0029513_MH0046_[Complete]_[mRNA]_locus=C3116227_1:249:1727:-,-,cluster113b,-,3.1e-17,69.3,7.6,4.2e-11,49.7,1.0,2.7,2,0,0,2,2,2,2,[translate_table: standard],113b,hmmsearch,metahit_pep
GL0048986_V1_[Complete]_[mRNA]_locus=scaffold31936_1:945:1376:-,-,cluster113b,-,5.1e-14,59.0,0.6,5.1e-14,59.0,0.6,3.0,3,0,0,3,3,3,1,[translate_table: standard],113b,hmmsearch,metahit_pep
GL0101497_MH0009_[Complete]_[mRNA]_locus=scaffold88273_2:221:652:-,-,cluster113b,-,4.9e-13,55.9,12.2,4.9e-12,52.7,0.6,3.3,3,0,0,3,3,3,2,[translate_table: standard],113b,hmmsearch,metahit_pep
GL0006060_O2_[Complete]_[mRNA]_locus=scaffold41558_1:3:491:+,-,cluster1217,-,5.6e-50,174.9,0.2,8e-50,174.4,0.2,1.2,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0134287_MH0043_[Lack_5'-end]_[mRNA]_locus=scaffold89040_4:3:1229:+,-,cluster1217,-,2.7e-49,172.8,0.2,5.4e-49,171.8,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0076961_MH0062_[Complete]_[mRNA]_locus=scaffold91327_2:576:2045:+,-,cluster1217,-,2.8999999999999997e-48,169.5,0.2,5.799999999999999e-48,168.5,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0044923_MH0055_[Complete]_[mRNA]_locus=scaffold62518_2:2:484:+,-,cluster1217,-,8.199999999999999e-48,168.0,0.2,1.0999999999999999e-47,167.5,0.2,1.2,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0028585_MH0010_[Lack_both_end]_[mRNA]_locus=scaffold27598_2:3:500:+,-,cluster1217,-,1.2e-47,167.5,0.2,1.6999999999999998e-47,167.0,0.2,1.2,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0062461_MH0039_[Complete]_[mRNA]_locus=scaffold86109_2:1199:2551:+,-,cluster1217,-,1.6999999999999998e-47,166.9,0.2,3.6e-47,165.9,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0046913_MH0032_[Lack_5'-end]_[mRNA]_locus=scaffold9137_3:197:1168:-,-,cluster1217,-,2.5e-47,166.4,0.2,5.3e-47,165.4,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0041710_MH0085_[Lack_5'-end]_[mRNA]_locus=scaffold32822_5:7126:8106:-,-,cluster1217,-,2.5999999999999997e-47,166.4,0.2,5.199999999999999e-47,165.4,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0014465_MH0070_[Complete]_[mRNA]_locus=scaffold115765_3:46643:47998:+,-,cluster1217,-,2e-46,163.6,0.1,4.2000000000000005e-46,162.5,0.1,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0015265_MH0071_[Complete]_[mRNA]_locus=scaffold16344_4:78368:79720:-,-,cluster1217,-,2e-46,163.5,0.2,4.299999999999999e-46,162.5,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0074312_V1_[Complete]_[mRNA]_locus=scaffold100193_1:15600:16955:-,-,cluster1217,-,3.7000000000000006e-46,162.7,0.1,8.199999999999998e-46,161.6,0.1,1.6,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0030368_MH0056_[Complete]_[mRNA]_locus=scaffold130541_1:157:1482:+,-,cluster1217,-,4.6e-46,162.4,0.2,9.2e-46,161.4,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0055083_O2_[Complete]_[mRNA]_locus=scaffold35089_3:8456:9805:-,-,cluster1217,-,8.5e-46,161.5,0.2,1.7e-45,160.5,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0037298_V1_[Complete]_[mRNA]_locus=scaffold73898_2:3307:4656:-,-,cluster1217,-,1e-44,158.1,0.2,2.0999999999999998e-44,157.1,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0139257_V1_[Lack_5'-end]_[mRNA]_locus=scaffold76761_1:1:768:+,-,cluster1217,-,1.3999999999999998e-44,157.7,0.0,2.1999999999999999e-44,157.0,0.0,1.3,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0013567_MH0018_[Complete]_[mRNA]_locus=scaffold20499_1:8433:9920:+,-,cluster1217,-,5.5e-44,155.7,0.0,1.1e-43,154.7,0.0,1.5,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0021960_MH0006_[Complete]_[mRNA]_locus=scaffold127202_3:55754:57223:-,-,cluster1217,-,4.3e-43,152.9,0.1,1e-42,151.7,0.1,1.6,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0104448_MH0056_[Complete]_[mRNA]_locus=scaffold74329_1:863:1600:+,-,cluster1217,-,4.7999999999999996e-43,152.7,0.1,8.3e-43,152.0,0.1,1.3,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0115647_MH0012_[Complete]_[mRNA]_locus=scaffold168088_1:380:1864:-,-,cluster1217,-,1.1999999999999998e-39,141.8,0.0,2.8999999999999996e-39,140.6,0.0,1.6,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0084267_MH0062_[Complete]_[mRNA]_locus=scaffold19059_3:302:1786:-,-,cluster1217,-,1.9e-39,141.2,0.1,4.4999999999999994e-39,140.0,0.1,1.6,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0062317_O2_[Complete]_[mRNA]_locus=scaffold19456_3:11806:12267:-,-,cluster1217,-,2.8e-29,108.6,0.0,4.6e-29,107.9,0.0,1.3,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0021657_MH0078_[Complete]_[mRNA]_locus=scaffold15065_1:376:1911:-,-,cluster1217,-,3.6000000000000003e-28,105.0,0.1,8.699999999999999e-28,103.8,0.1,1.6,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0278462_unmapped_[Lack_5'-end]_[mRNA]_locus=C219881311_1:331:603:-,-,cluster1217,-,5.200000000000001e-18,72.5,0.1,6.9e-18,72.1,0.1,1.2,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0054175_MH0085_[Lack_5'-end]_[mRNA]_locus=scaffold4222_4:2:232:+,-,cluster1217,-,2e-13,57.8,0.2,2.8e-13,57.4,0.2,1.2,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0031807_MH0041_[Lack_5'-end]_[mRNA]_locus=scaffold26046_2:2:421:+,-,cluster1217,-,0.00015,29.3,0.0,0.00022999999999999998,28.7,0.0,1.2,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0069592_MH0026_[Complete]_[mRNA]_locus=scaffold48625_1:644:2155:-,-,cluster1217,-,0.00029,28.4,0.0,0.0008300000000000001,27.0,0.0,1.7,1,0,0,1,1,1,1,[translate_table: standard],1217,hmmsearch,metahit_pep
GL0107162_V1_[Complete]_[mRNA]_locus=scaffold79364_1:3770:5716:+,-,cluster179a,-,6.4e-34,123.5,0.6,1.4000000000000001e-33,122.4,0.6,1.6,1,0,0,1,1,1,1,[translate_table: standard],179a,hmmsearch,metahit_pep
GL0027813_MH0033_[Lack_3'-end]_[mRNA]_locus=C3777442_1:4112:5341:+,-,cluster179a,-,7.9e-32,116.8,0.5,1.4e-31,116.0,0.5,1.4,1,0,0,1,1,1,1,[translate_table: standard],179a,hmmsearch,metahit_pep
GL0047061_MH0039_[Complete]_[mRNA]_locus=scaffold84037_1:3106:5049:+,-,cluster179a,-,1.3e-31,116.1,0.2,3e-31,115.0,0.2,1.6,1,0,0,1,1,1,1,[translate_table: standard],179a,hmmsearch,metahit_pep
GL0110254_MH0077_[Lack_3'-end]_[mRNA]_locus=scaffold9705_4:20:547:+,-,cluster179a,-,1.0999999999999999e-25,97.1,0.2,1.8e-25,96.4,0.2,1.3,1,0,0,1,1,1,1,[translate_table: standard],179a,hmmsearch,metahit_pep
GL0070732_O2_[Lack_3'-end]_[mRNA]_locus=scaffold35233_5:11:727:+,-,cluster179a,-,3.5e-16,66.6,1.1,6.8e-16,65.7,1.1,1.5,1,0,0,1,1,1,1,[translate_table: standard],179a,hmmsearch,metahit_pep
GL0039066_V1_[Lack_3'-end]_[mRNA]_locus=scaffold45917_3:1037:2056:+,-,cluster179a,-,0.00026000000000000003,28.5,0.7,0.0005200000000000001,27.5,0.7,1.5,1,0,0,1,1,1,1,[translate_table: standard],179a,hmmsearch,metahit_pep
GL0044248_MH0068_[Lack_both_end]_[mRNA]_locus=scaffold58437_2:3:653:+,-,cluster182a,-,1.6e-13,58.2,2.9,1.6e-13,58.2,2.9,2.6,2,1,0,2,2,2,1,[translate_table: standard],182a,hmmsearch,metahit_pep
GL0098407_MH0081_[Lack_3'-end]_[mRNA]_locus=C3610397_1:276:518:+,-,cluster182a,-,3.7000000000000006e-06,34.5,2.8,4.2999999999999995e-06,34.3,2.8,1.0,1,0,0,1,1,1,1,[translate_table: standard],182a,hmmsearch,metahit_pep
GL0014529_V1_[Lack_both_end]_[mRNA]_locus=scaffold54999_1:2:787:+,-,cluster182a,-,4.4e-06,34.3,3.7,4.4e-05,31.1,0.4,2.7,2,1,0,2,2,2,1,[translate_table: standard],182a,hmmsearch,metahit_pep
GL0044248_MH0068_[Lack_both_end]_[mRNA]_locus=scaffold58437_2:3:653:+,-,cluster182b,-,1.4e-07,39.1,0.7,4.7e-07,37.5,0.7,1.9,1,0,0,1,1,1,1,[translate_table: standard],182b,hmmsearch,metahit_pep
GL0051571_MH0068_[Lack_both_end]_[mRNA]_locus=scaffold28664_1:2:793:-,-,cluster211a,-,8.9e-36,128.6,0.6,3.7999999999999996e-35,126.6,0.7,2.0,2,0,0,2,2,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0078510_MH0085_[Lack_5'-end]_[mRNA]_locus=scaffold24846_3:614:1573:-,-,cluster211a,-,1.3999999999999999e-18,73.5,1.7,2.2000000000000002e-18,72.9,0.1,2.1,2,0,0,2,2,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0039698_MH0071_[Lack_both_end]_[mRNA]_locus=scaffold4304_1:1:1548:+,-,cluster211a,-,4.8e-15,62.2,0.3,1.2e-14,61.0,0.3,1.6,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0115067_MH0073_[Complete]_[mRNA]_locus=scaffold47492_1:2645:4627:-,-,cluster211a,-,1.3e-14,60.9,0.2,2.7000000000000005e-14,59.8,0.2,1.5,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0270885_unmapped_[Lack_3'-end]_[mRNA]_locus=scaffold9779_1:1:852:-,-,cluster211a,-,3.7999999999999996e-08,40.1,0.1,3.7999999999999996e-08,40.1,0.1,2.1,3,0,0,3,3,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0076382_MH0085_[Lack_5'-end]_[mRNA]_locus=scaffold51729_1:3:986:+,-,cluster211a,-,9.1e-08,38.9,0.1,3.5e-07,37.1,0.1,1.9,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0049133_MH0064_[Lack_3'-end]_[mRNA]_locus=scaffold28849_1:3255:5048:+,-,cluster211a,-,1.4e-07,38.4,0.9,8.5e-07,35.8,0.1,2.5,2,0,0,2,2,2,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0071558_V1_[Complete]_[mRNA]_locus=scaffold33726_1:672:2693:-,-,cluster211a,-,2e-07,37.8,0.0,4.1e-07,36.8,0.0,1.5,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0122473_MH0009_[Complete]_[mRNA]_locus=C5360279_1:3465:5357:+,-,cluster211a,-,2.8e-07,37.3,0.7,8.5e-07,35.8,0.1,2.1,2,0,0,2,2,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0089753_V1_[Lack_both_end]_[mRNA]_locus=C3887937_1:2:709:-,-,cluster211a,-,3e-07,37.3,0.0,7.6e-07,36.0,0.0,1.6,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0013071_V1_[Lack_5'-end]_[mRNA]_locus=scaffold86746_2:2:1474:+,-,cluster211a,-,4.2e-07,36.8,0.0,2.3e-06,34.4,0.0,2.3,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0112633_O2_[Lack_5'-end]_[mRNA]_locus=scaffold6789_2:2:1924:+,-,cluster211a,-,4.8e-07,36.6,0.2,3.2e-06,34.0,0.0,2.4,2,0,0,2,2,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0088473_V1_[Complete]_[mRNA]_locus=scaffold70236_1:2392:3951:-,-,cluster211a,-,5.5e-07,36.4,0.0,2.4e-06,34.3,0.0,2.1,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0028874_O2_[Complete]_[mRNA]_locus=scaffold51139_1:1639:3681:+,-,cluster211a,-,7.9e-07,35.9,0.1,3.2e-06,33.9,0.1,2.1,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0053934_V1_[Complete]_[mRNA]_locus=scaffold95085_2:352:2397:-,-,cluster211a,-,7.9e-07,35.9,0.1,3.2e-06,33.9,0.1,2.0,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0006247_MH0071_[Lack_both_end]_[mRNA]_locus=scaffold78712_3:3:977:+,-,cluster211a,-,1.2e-06,35.3,0.1,5.3e-06,33.3,0.1,2.1,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0077828_MH0024_[Lack_both_end]_[mRNA]_locus=scaffold9455_1:2:859:-,-,cluster211a,-,0.00018999999999999998,28.3,0.1,0.00064,26.6,0.0,1.9,2,0,0,2,2,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0220611_unmapped_[Lack_5'-end]_[mRNA]_locus=scaffold787450_1:2:949:+,-,cluster211a,-,0.00022,28.1,0.0,0.00074,26.4,0.0,1.9,1,0,0,1,1,1,1,[translate_table: standard],211a,hmmsearch,metahit_pep
GL0051571_MH0068_[Lack_both_end]_[mRNA]_locus=scaffold28664_1:2:793:-,-,cluster211b,-,2.7999999999999995e-34,124.0,0.2,7.599999999999999e-34,122.7,0.2,1.7,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0078510_MH0085_[Lack_5'-end]_[mRNA]_locus=scaffold24846_3:614:1573:-,-,cluster211b,-,7.499999999999999e-29,106.7,1.5,2.9999999999999996e-28,104.7,0.1,2.3,2,0,0,2,2,2,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0039698_MH0071_[Lack_both_end]_[mRNA]_locus=scaffold4304_1:1:1548:+,-,cluster211b,-,5.099999999999999e-22,84.7,1.5,5.3e-22,84.7,0.1,1.8,2,0,0,2,2,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0270885_unmapped_[Lack_3'-end]_[mRNA]_locus=scaffold9779_1:1:852:-,-,cluster211b,-,1.5e-21,83.3,2.0,5.1e-21,81.6,0.1,2.3,2,0,0,2,2,2,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0115067_MH0073_[Complete]_[mRNA]_locus=scaffold47492_1:2645:4627:-,-,cluster211b,-,2.5000000000000002e-21,82.5,0.1,6.7000000000000005e-21,81.2,0.1,1.7,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0071558_V1_[Complete]_[mRNA]_locus=scaffold33726_1:672:2693:-,-,cluster211b,-,4.5e-15,62.5,0.0,1.1e-14,61.3,0.0,1.6,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0077828_MH0024_[Lack_both_end]_[mRNA]_locus=scaffold9455_1:2:859:-,-,cluster211b,-,1.2e-10,48.4,0.0,3e-10,47.1,0.0,1.7,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0220611_unmapped_[Lack_5'-end]_[mRNA]_locus=scaffold787450_1:2:949:+,-,cluster211b,-,1.5e-10,48.0,0.0,3.5000000000000003e-10,46.8,0.0,1.6,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0047818_MH0044_[Lack_3'-end]_[mRNA]_locus=scaffold41894_1:1:717:-,-,cluster211b,-,4.5e-09,43.3,0.3,1.6e-08,41.5,0.0,2.1,2,0,0,2,2,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0006247_MH0071_[Lack_both_end]_[mRNA]_locus=scaffold78712_3:3:977:+,-,cluster211b,-,6.1e-09,42.9,0.0,1.8999999999999998e-08,41.3,0.0,1.8,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0048593_MH0072_[Lack_both_end]_[mRNA]_locus=scaffold28859_2:3:536:-,-,cluster211b,-,7.1e-09,42.6,0.3,2e-08,41.2,0.3,1.8,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0089753_V1_[Lack_both_end]_[mRNA]_locus=C3887937_1:2:709:-,-,cluster211b,-,7.3e-09,42.6,0.0,1.5e-08,41.6,0.0,1.6,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0076382_MH0085_[Lack_5'-end]_[mRNA]_locus=scaffold51729_1:3:986:+,-,cluster211b,-,7.5e-09,42.6,0.0,2.4e-08,41.0,0.0,1.9,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
GL0088473_V1_[Complete]_[mRNA]_locus=scaffold70236_1:2392:3951:-,-,cluster211b,-,1.6e-08,41.5,0.0,5.3e-08,39.9,0.0,1.9,1,0,0,1,1,1,1,[translate_table: standard],211b,hmmsearch,metahit_pep
